"Date & Time","use [kWh]","gen [kWh]","HVAC [kWh]","Garage [kWh]","Main House + Pumps [kWh]","Water Heater [kWh]","Heat Pump [kWh]","Heaters - upstairs [kWh]","Heater - downstairs [kWh]","Range [kWh]","HRV [kWh]","Dishwasher [kWh]","Main House [kWh]","Washer and Dryer [kWh]","KitL MasLP BathLP LoftLP GueLP [kWh]","KitP LivLP StairsUpLP [kWh]","Well Pump [kWh]","Booster Pump [kWh]","Garage Water Heater [kWh]","Solar Net [kWh]","Main Grid [kWh]","Solar Pos [kWh]","Septic Pump [kWh]"
2016-05-30 13:00:00,13032.047469167,6246.427915000,-2842.692520833,-2825.925423333,-10206.122045833,-1622.626259722,-2401.849342222,-63.838011389,-84.917425833,-477.877697778,-292.087741389,-172.900521667,-8911.010926944,-665.403704167,-297.873166389,0.000000000,-821.371028056,-473.740090833,-834.608191111,5962.990281111,-7069.057188056,6246.427915000,-14.672956944
2016-05-29 13:00:00,12978.783302778,6191.908858611,-2839.443618611,-2815.837236111,-10162.946066667,-1616.383858056,-2399.607076389,-63.721261111,-84.854446111,-475.997536944,-291.260835000,-172.143311667,-8879.374304722,-656.141080278,-296.815047500,0.000000000,-815.227340833,-468.344421111,-833.566915556,5908.651737778,-7070.131565000,6191.908858611,-14.605866667
2016-05-28 13:00:00,12936.936507222,6168.532144722,-2834.864787222,-2805.026328611,-10131.910178611,-1610.042576944,-2396.284811111,-63.606117222,-84.793026111,-473.989103611,-290.180832778,-171.388404167,-8852.066317500,-655.865586944,-295.715433056,0.000000000,-812.686597778,-467.157263333,-832.615365278,5885.460007500,-7051.476499722,6168.532144722,-14.596279167
2016-05-27 13:00:00,12890.363173056,6136.179713889,-2829.317282778,-2790.405435556,-10099.957737500,-1606.785433889,-2392.172797222,-63.489018056,-84.730933889,-470.640192500,-288.924533611,-170.793159444,-8827.953204444,-655.781884444,-294.584021389,0.000000000,-808.039477222,-463.965055833,-828.611870278,5853.290055000,-7037.073118056,6136.179713889,-14.432098611
2016-05-26 13:00:00,12844.084608611,6095.018898611,-2822.870209444,-2779.314987500,-10064.769621111,-1600.138105278,-2387.164692500,-63.373805278,-84.668743056,-469.360448611,-287.662968611,-170.072966667,-8801.723455000,-655.698670556,-293.452824167,0.000000000,-802.547068056,-460.499098056,-822.034203611,5812.305968333,-7031.778640278,6095.018898611,-14.424752222
2016-05-25 13:00:00,12807.568028056,6072.700579167,-2816.937749167,-2771.938544167,-10035.629483889,-1595.840675278,-2382.681267778,-63.257922778,-84.606555833,-468.692738889,-286.392002778,-170.053081944,-8779.773445556,-655.614767222,-292.367888889,0.000000000,-797.994414722,-457.861623611,-817.318690556,5790.177024444,-7017.391003611,6072.700579167,-14.426385000
2016-05-24 13:00:00,12774.780028056,6038.619095278,-2811.981019167,-2765.729494722,-10009.050533333,-1592.314089167,-2379.179499444,-63.141370556,-84.544511667,-468.082458333,-285.115637500,-169.356012778,-8760.337541389,-655.529619444,-291.251094722,0.000000000,-793.739537778,-454.973454167,-813.816731667,5756.275020833,-7018.505007222,6038.619095278,-14.238463611
2016-05-23 13:00:00,12740.121923889,6013.700969444,-2806.947716667,-2758.991091111,-9981.130832778,-1587.401498889,-2375.597962222,-63.024650278,-84.482071944,-466.652261389,-283.843032222,-169.337637778,-8739.229114722,-655.442325833,-290.227940000,0.000000000,-789.584184444,-452.317533611,-809.896569167,5731.546890278,-7008.575033611,6013.700969444,-14.234965000
2016-05-22 13:00:00,12707.438086389,5975.553009167,-2801.731153889,-2755.498845278,-9951.939241111,-1580.859865833,-2371.829741667,-62.908854722,-84.419300833,-466.274473333,-282.573256667,-167.858403889,-8713.006827778,-652.546132500,-289.222871111,0.000000000,-787.732876944,-451.199536389,-808.910593333,5693.580016667,-7013.858069722,5975.553009167,-14.233474722
2016-05-21 13:00:00,12668.905013333,5944.897814167,-2794.653646389,-2747.911259167,-9920.993754167,-1576.840718889,-2366.197689167,-62.792901944,-84.356762500,-465.598047778,-281.306292778,-167.837905556,-8684.617074722,-647.368167222,-288.125911667,0.000000000,-786.036746667,-450.339932778,-807.924928333,5663.100939444,-7005.804073889,5944.897814167,-14.233801111
