Date & Time,use [kW],gen [kW],HVAC [kW],Garage [kW],Main House + Pumps [kW],Water Heater [kW],Heat Pump [kW],Heaters - upstairs [kW],Heater - downstairs [kW],Range [kW],HRV [kW],Dishwasher [kW],Main House [kW],Washer and Dryer [kW],KitL MasLP BathLP LoftLP GueLP [kW],KitP LivLP StairsUpLP [kW],Well Pump [kW],Booster Pump [kW],Garage Water Heater [kW],Solar Net [kW],Main Grid [kW],Solar Pos [kW],Septic Pump [kW]
2/28/2017 18:43,2.439462234,0.500764444,-0.636878241,-0.718533657,-1.720928576,-0.420378981,-0.530676019,-0.013470856,-0.042405868,-0.036830093,-0.050325498,-0.000666019,-1.590620625,-0.10673375,-0.16380912,-0.141027894,-0.082016146,-0.048291806,-0.076915278,0.492795498,-1.946666736,0.500764444,0.000139201
2/27/2017 18:43,2.303375394,0.809900266,-0.751865613,-0.753223981,-1.550151412,-0.270213611,-0.587081852,-0.036825544,-0.077570185,-0.022907593,-0.050388032,-0.028668356,-1.427517164,-0.002916053,-0.154666435,-0.118331794,-0.082118449,-0.040515799,-0.091090081,0.801894039,-1.501481354,0.809900266,0.000006007
2/26/2017 18:43,2.235737674,0.443682269,-0.622178403,-0.645289664,-1.590448009,-0.147332303,-0.465449537,-0.054115556,-0.052784549,-0.113895648,-0.049828762,-0.015600116,-1.502398889,-0.22554809,-0.150401308,-0.145543206,-0.053931817,-0.034117303,-0.043566713,0.435182072,-1.800555602,0.443682269,-0.008255741
2/25/2017 18:43,2.535471493,0.252655903,-0.732345,-0.618815185,-1.916656308,-0.261099387,-0.62099787,-0.013921759,-0.047642755,-0.145335706,-0.049782616,-0.039553646,-1.805526852,-0.248985035,-0.141855741,-0.156120625,-0.074311979,-0.036817477,-0.092806539,0.244682257,-2.290789236,0.252655903,0.000047118
2/24/2017 18:43,2.190231042,0.858413449,-0.857112824,-0.334624028,-1.855607014,-0.298934387,-0.724839317,-0.007232731,-0.074723461,-0.036819109,-0.050317315,-0.035082442,-1.746114456,-0.09914662,-0.163619688,-0.178657141,-0.068137141,-0.041355417,-0.044705718,0.849771782,-1.340459259,0.858413449,-0.000110579
2/23/2017 18:43,2.180501042,0.775382639,-0.600986076,-0.653212639,-1.527288403,-0.275193194,-0.460477465,-0.007073704,-0.083101308,-0.023278542,-0.0503336,-0.048480336,-1.413148981,-0.047282963,-0.179182708,-0.16225088,-0.077050162,-0.037089259,-0.041308947,0.766917963,-1.413583079,0.775382639,-0.000084884
2/22/2017 18:43,2.23861912,0.586390822,-0.687236192,-0.78643522,-1.4521839,-0.154087975,-0.541705394,-0.010898287,-0.08449287,-0.0641111,-0.050139641,-0.036816505,-1.338211019,-0.002871771,-0.173579201,-0.147369676,-0.074866667,-0.039106215,-0.090746157,0.57775081,-1.66086831,0.586390822,-0.006070718
2/21/2017 18:43,1.843817326,0.545771852,-0.51239375,-0.463737593,-1.380079734,-0.217985718,-0.39379088,-0.013304225,-0.054554931,-0.083025174,-0.050743715,-0.036320937,-1.215185613,-0.002866921,-0.162994352,-0.126550486,-0.108938438,-0.055955683,-0.193980046,0.536796528,-1.307020799,0.545771852,-0.002742512
2/20/2017 18:43,2.510693947,0.337644722,-0.511600764,-0.660339514,-1.850354433,-0.431568275,-0.427668056,-0.004587836,-0.02885566,-0.01393309,-0.050489213,-0.028665174,-1.637860382,-0.102757199,-0.144054225,-0.323504896,-0.145191863,-0.067302188,-0.098516169,0.328609514,-2.182084433,0.337644722,-0.000615382
2/19/2017 18:43,2.250874722,0.32539456,-0.441706586,-0.954386181,-1.296488542,-0.235155127,-0.356484699,-0.005718935,-0.029152083,-0.045895139,-0.050350868,-0.032398785,-1.264652546,-0.014490567,-0.133636574,-0.269722269,-0.020469907,-0.011366088,-0.046131481,0.316438148,-1.934436574,0.32539456,-0.000324306
2/18/2017 18:43,2.2059539,0.294054132,-0.515602431,-0.427556505,-1.778397396,-0.235917164,-0.452294028,-0.004618438,-0.008436944,-0.221782384,-0.050253021,-0.03456838,-1.723490197,-0.181045231,-0.217499699,-0.224547269,-0.041058507,-0.013848692,-0.09047765,0.284247963,-1.921705938,0.294054132,-0.007615868
2/17/2017 18:43,2.15745706,0.258604352,-0.534561586,-0.488234016,-1.669223044,-0.171254965,-0.466276285,-0.004551134,-0.013406794,-0.126773229,-0.050327373,-0.027904826,-1.635671725,-0.28990956,-0.224299433,-0.174569907,-0.020505382,-0.013045938,-0.044500023,0.248847407,-1.908609653,0.258604352,0.000008738
2/16/2017 18:43,1.384104792,0.814274815,-0.404348623,-0.092472199,-1.291632593,-0.276046944,-0.333446412,-0.004542164,-0.015430127,-0.127076759,-0.050929919,-0.058935185,-1.257897639,-0.003012361,-0.160614421,-0.138446944,-0.023981748,-0.009753206,-0.042005729,0.805140984,-0.578963808,0.814274815,-0.000253484
2/15/2017 18:43,1.33805625,0.663389745,-0.386200961,-0.477441574,-0.860614676,-0.092976748,-0.321205914,-0.004485741,-0.00953919,-0.017152986,-0.050970116,-0.000655093,-0.833624525,-0.003068484,-0.128587512,-0.122001956,-0.020181887,-0.006808264,-0.079043692,0.654280602,-0.683775648,0.663389745,-0.000146609
2/14/2017 18:43,1.606258704,0.055670243,-0.464850613,-0.460548044,-1.14571066,-0.189378576,-0.367493241,-0.0047286,-0.042178113,-0.107184676,-0.05045066,-0.033207037,-1.118804676,-0.003027083,-0.130029213,-0.110072002,-0.020761146,-0.006144838,-0.093812373,0.043622292,-1.562636412,0.055670243,-0.00221566
2/13/2017 18:43,1.804285579,0.629923762,-0.637392488,-0.667431308,-1.136854271,-0.123442639,-0.519032836,-0.009300833,-0.058524954,-0.01373272,-0.050533866,-0.000725451,-1.131232095,-0.00307309,-0.156811215,-0.10095853,0.00000978,-0.005631956,-0.046947813,0.620556852,-1.183728727,0.629923762,-0.005157176
2/12/2017 18:43,1.823793125,0.771583947,-0.481801505,-0.425361609,-1.398431516,-0.224974236,-0.359034618,-0.004564699,-0.067605926,-0.065093449,-0.050596262,-0.033880972,-1.370756412,-0.051344606,-0.156594329,-0.272680463,-0.019413044,-0.00826206,-0.047305289,0.762319792,-1.061473333,0.771583947,-0.000485289
2/11/2017 18:43,2.729374225,0.553671713,-0.657677535,-0.549319618,-2.180054606,-0.457347894,-0.536433704,-0.006068102,-0.065380231,-0.134901539,-0.049795498,-0.035353368,-2.088591991,-0.375098831,-0.182098345,-0.163721655,-0.064448183,-0.027014433,-0.09497809,0.544653368,-2.184720856,0.553671713,0.000115613
2/10/2017 18:43,1.836600637,0.59409537,-0.631903947,-0.493632141,-1.342968495,-0.102446481,-0.513150914,-0.007940556,-0.060787894,-0.17384066,-0.050024583,-0.022706424,-1.338296181,-0.002954537,-0.181219699,-0.142604502,0.000005162,-0.004677477,-0.04697581,0.585904236,-1.2506964,0.59409537,0.000071377
2/9/2017 18:43,1.674841181,0.378329271,-0.654490903,-0.233026019,-1.441815162,-0.210439641,-0.540937697,-0.006128414,-0.05694816,-0.025923264,-0.050476632,-0.019554525,-1.388178843,-0.090056019,-0.177558762,-0.126547766,-0.040915405,-0.012720914,-0.041220139,0.369008831,-1.30583235,0.378329271,-0.001270938
2/8/2017 18:43,1.986650961,0.33634934,-0.697515255,-0.73595897,-1.250691991,-0.137133229,-0.445227743,-0.044871736,-0.157339201,-0.016706169,-0.050076574,-0.031453009,-1.222860567,-0.003022569,-0.133364213,-0.12106684,-0.019244572,-0.008586852,-0.078988287,0.325974664,-1.660676296,0.33634934,-0.007920428
2/7/2017 18:43,3.695878611,0.040268079,-1.379525069,-1.403760891,-2.29211772,-0.284028692,-0.781441481,-0.192239005,-0.3673214,-0.024693032,-0.038523183,-0.03866206,-2.252371667,-0.159891725,-0.131262083,-0.135110556,-0.023911898,-0.015834155,-0.21284287,0.027616343,-3.668262269,0.040268079,0.000194294
